School.Number,School Name,Address,Longitude,Latitude,GradeBand,GradesServed
37,Harford Heights Elementary,"1919 N Broadway, Baltimore, MD, 21213",-76.595076,39.312466,E,PK - 5
39,"Dallas F. Nicholas, Sr. Elementary","201 E 21st St, Baltimore, MD, 21218",-76.614086,39.31325,E,PK - 5
44,Montebello Elementary/Middle,"2040 E 32nd St, Baltimore, MD, 21218",-76.586079,39.327403,EM,PK - 8
45,Federal Hill Preparatory Academy,"1040 William St, Baltimore, MD, 21230",-76.610668,39.277662,E,PK - 5
47,Hampstead Hill Academy,"500 S Linwood Ave, Baltimore, MD, 21224",-76.575923,39.286372,EM,6 - 8
49,Northeast Middle,"5001 Moravia Rd, Baltimore, MD, 21206",-76.550932,39.324559,M,PK - 8
50,Abbottston Elementary,"1300 Gorsuch Ave, Baltimore, MD, 21218",-76.600378,39.325025,E,PK - 5
51,Waverly Elementary/Middle,"3400 Ellerslie Ave, Baltimore, MD, 21218",-76.603672,39.330029,EM,PK - 8
53,Margaret Brent Elementary/Middle,"100 E 26th St, Baltimore, MD, 21218",-76.615582,39.31947,EM,PK - 8
54,Barclay Elementary/Middle,"2900 Barclay St, Baltimore, MD, 21218",-76.611105,39.323546,EM,PK - 8
55,Hampden Elementary/Middle,"3608 Chestnut Ave, Baltimore, MD, 21211",-76.629462,39.331644,EM,PK - 8
58,Dr..than A. Pitts-Ashburton Elementary/Middle,"3935 Hilton Rd, Baltimore, MD, 21215",-76.66834,39.330413,EM,PK - 8
60,Gwynns Falls Elementary,"2700 Gwynns Falls Pky, Baltimore, MD, 21216",-76.66186,39.315181,E,PK - 5
61,John Eager Howard Elementary,"2011 Linden Ave, Baltimore, MD, 21217",-76.632734,39.310754,E,PK - 5
62,Edgecombe Circle Elementary/Middle,"2835 Virginia Ave, Baltimore, MD, 21215",-76.662645,39.345085,EM,PK - 8
63,Rosemont Elementary/Middle,"2777 Presstman St, Baltimore, MD, 21216",-76.663621,39.304769,EM,PK - 8
64,Liberty Elementary,"3901 Maine Ave, Gwynn Oak, MD, 21207",-76.68291,39.326077,E,PK - 5
66,Mount Royal Elementary/Middle,"121 McMechen St, Baltimore, MD, 21217",-76.625217,39.309022,EM,K - 8
67,Edgewood Elementary,"1900 Edgewood St, Baltimore, MD, 21216",-76.675965,39.309008,E,PK - 5
73,Sarah M. Roach Elementary,"3434 Old Frederick Rd, Baltimore, MD, 21229",-76.674521,39.282642,E,PK - 5
75,Calverton Elementary/Middle,"1100 Whitmore Ave, Baltimore, MD, 21216",-76.658412,39.300536,EM,PK - 8
